frame_idx,timestamp_ms,x1,y1,x2,y2,label,class_name_raw,class_id,det_conf
0,0,459,235,513,286,Vehicle,car,2,0.8654485940933228
0,0,438,298,569,488,Vehicle,bus,5,0.8138747811317444
0,0,125,562,284,718,Vehicle,car,2,0.7637010216712952
0,0,198,370,295,453,Vehicle,car,2,0.753822922706604
0,0,403,326,466,400,Vehicle,car,2,0.7450544834136963
0,0,932,415,1005,496,Vehicle,car,2,0.7449836134910583
0,0,366,272,430,329,Vehicle,car,2,0.7428959012031555
0,0,385,492,491,627,Vehicle,car,2,0.6924262046813965
0,0,0,562,114,708,Vehicle,car,2,0.6427816152572632
0,0,279,564,372,674,Vehicle,car,2,0.6019970178604126
0,0,1014,558,1092,642,Vehicle,car,2,0.5568647384643555
0,0,409,206,463,248,Vehicle,car,2,0.48149314522743225
0,0,1186,603,1210,665,Human,person,0,0.47554638981819153
0,0,25,658,70,719,Human,person,0,0.4447435140609741
0,0,529,177,560,207,Vehicle,car,2,0.44062063097953796
0,0,498,131,539,157,Vehicle,car,2,0.4202044904232025
0,0,811,340,826,374,Human,person,0,0.38284483551979065
1,33,459,235,513,288,Vehicle,car,2,0.8222073316574097
1,33,436,300,568,491,Vehicle,bus,5,0.795604407787323
1,33,932,414,1006,496,Vehicle,car,2,0.7335324883460999
1,33,194,372,291,455,Vehicle,car,2,0.7305716872215271
1,33,364,272,430,331,Vehicle,car,2,0.6906749606132507
1,33,380,494,490,634,Vehicle,car,2,0.6603495478630066
1,33,118,571,279,720,Vehicle,car,2,0.6467005014419556
1,33,0,567,107,706,Vehicle,car,2,0.6189209222793579
1,33,399,332,463,404,Vehicle,car,2,0.5912750363349915
1,33,1014,557,1091,643,Vehicle,car,2,0.5717755556106567
1,33,528,177,559,207,Vehicle,car,2,0.4949667751789093
1,33,412,207,461,249,Vehicle,car,2,0.49443989992141724
1,33,497,131,539,157,Vehicle,car,2,0.4208228886127472
1,33,811,342,827,376,Human,person,0,0.41958001255989075
1,33,1184,602,1210,660,Human,person,0,0.40593287348747253
1,33,272,573,367,688,Vehicle,car,2,0.40005964040756226
2,67,456,236,512,289,Vehicle,car,2,0.8444271087646484
2,67,433,300,566,495,Vehicle,bus,5,0.7958729863166809
2,67,186,376,288,458,Vehicle,car,2,0.7856723666191101
2,67,361,275,429,334,Vehicle,car,2,0.7807493805885315
2,67,377,496,487,640,Vehicle,car,2,0.7736353278160095
2,67,109,579,276,719,Vehicle,car,2,0.7484027743339539
2,67,931,414,1005,496,Vehicle,car,2,0.7029697895050049
2,67,0,575,101,710,Vehicle,car,2,0.7018297910690308
2,67,397,335,464,406,Vehicle,car,2,0.6305092573165894
2,67,1014,557,1091,643,Vehicle,car,2,0.599216878414154
2,67,526,177,560,208,Vehicle,car,2,0.5090841054916382
2,67,413,208,459,249,Vehicle,car,2,0.45877805352211
2,67,266,581,364,689,Vehicle,car,2,0.4570540487766266
2,67,497,131,538,157,Vehicle,car,2,0.4186691343784332
2,67,872,366,908,404,Vehicle,car,2,0.40464234352111816
2,67,811,341,828,377,Human,person,0,0.39702746272087097
2,67,1184,600,1210,660,Human,person,0,0.3966195285320282
2,67,1129,520,1157,570,Human,person,0,0.38686156272888184
2,67,881,403,921,457,Vehicle,car,2,0.3866349458694458
3,100,374,502,485,645,Vehicle,car,2,0.8385587334632874
3,100,432,302,566,498,Vehicle,bus,5,0.8005181550979614
3,100,182,376,286,461,Vehicle,car,2,0.7900753617286682
3,100,0,581,93,716,Vehicle,car,2,0.7808728218078613
3,100,455,238,510,292,Vehicle,car,2,0.758463442325592
3,100,108,588,274,720,Vehicle,car,2,0.7543966174125671
3,100,359,277,427,335,Vehicle,car,2,0.711376965045929
3,100,260,588,360,703,Vehicle,car,2,0.7027755975723267
3,100,933,414,1006,495,Vehicle,car,2,0.6907116770744324
3,100,1014,558,1092,644,Vehicle,car,2,0.6247039437294006
3,100,396,335,461,407,Vehicle,car,2,0.5960429906845093
3,100,411,208,459,250,Vehicle,car,2,0.513633668422699
3,100,527,178,559,209,Vehicle,car,2,0.4857252836227417
3,100,872,366,908,404,Vehicle,car,2,0.42637771368026733
3,100,881,402,921,457,Vehicle,car,2,0.415619820356369
3,100,812,343,828,378,Human,person,0,0.3983329236507416
4,133,372,506,484,652,Vehicle,car,2,0.8158527612686157
4,133,430,304,565,501,Vehicle,bus,5,0.8129213452339172
4,133,0,588,87,717,Vehicle,car,2,0.8056280016899109
4,133,180,379,284,464,Vehicle,car,2,0.7978201508522034
4,133,357,277,427,337,Vehicle,car,2,0.760269045829773
4,133,452,237,509,293,Vehicle,car,2,0.7420985102653503
4,133,100,595,266,719,Vehicle,car,2,0.731073260307312
4,133,393,337,463,411,Vehicle,car,2,0.7290009260177612
4,133,933,414,1006,495,Vehicle,car,2,0.6752385497093201
4,133,1015,558,1093,644,Vehicle,car,2,0.6519028544425964
4,133,407,210,458,252,Vehicle,car,2,0.6203591227531433
4,133,525,178,559,210,Vehicle,car,2,0.5070849657058716
4,133,255,598,355,714,Vehicle,car,2,0.5052635669708252
4,133,812,344,830,380,Human,person,0,0.461539626121521
4,133,872,366,909,404,Vehicle,car,2,0.44837450981140137
4,133,881,402,921,457,Vehicle,car,2,0.4404679536819458
4,133,255,644,322,718,Vehicle,car,2,0.41440531611442566
5,167,356,278,424,339,Vehicle,car,2,0.7967171669006348
5,167,177,382,282,468,Vehicle,car,2,0.7962825894355774
5,167,367,514,483,659,Vehicle,car,2,0.7922503352165222
5,167,428,306,565,506,Vehicle,bus,5,0.7578364014625549
5,167,97,606,257,720,Vehicle,car,2,0.7249482870101929
5,167,392,340,463,413,Vehicle,car,2,0.682339072227478
5,167,0,594,80,718,Vehicle,car,2,0.667521059513092
5,167,933,414,1006,495,Vehicle,car,2,0.6615031957626343
5,167,1016,558,1093,645,Vehicle,car,2,0.6439536213874817
5,167,452,237,509,294,Vehicle,car,2,0.6170729994773865
5,167,247,655,316,719,Vehicle,car,2,0.6020239591598511
5,167,405,211,458,254,Vehicle,car,2,0.4914310872554779
5,167,812,344,830,382,Human,person,0,0.45059359073638916
5,167,879,403,922,459,Vehicle,car,2,0.4186112582683563
5,167,872,367,909,404,Vehicle,car,2,0.4121856689453125
5,167,249,608,349,712,Vehicle,car,2,0.40491753816604614
6,200,364,517,481,666,Vehicle,car,2,0.7970142364501953
6,200,173,384,278,470,Vehicle,car,2,0.788796067237854
6,200,351,280,422,340,Vehicle,car,2,0.7866954207420349
6,200,0,601,75,717,Vehicle,car,2,0.7491238117218018
6,200,425,308,564,510,Vehicle,bus,5,0.709669291973114
6,200,241,616,348,718,Vehicle,car,2,0.6348593235015869
6,200,387,340,462,418,Vehicle,car,2,0.6148555278778076
6,200,934,413,1006,493,Vehicle,car,2,0.5841101408004761
6,200,1015,555,1092,644,Vehicle,car,2,0.572517454624176
6,200,405,212,457,255,Vehicle,car,2,0.5365937948226929
6,200,447,234,508,296,Vehicle,car,2,0.5315259099006653
6,200,87,614,257,720,Vehicle,car,2,0.5203524231910706
6,200,813,348,829,383,Human,person,0,0.45870959758758545
6,200,872,366,909,404,Vehicle,car,2,0.4284341037273407
6,200,881,402,922,457,Vehicle,car,2,0.4009302258491516
7,233,348,281,421,343,Vehicle,car,2,0.850583553314209
7,233,169,388,274,475,Vehicle,car,2,0.8302273750305176
7,233,361,523,480,675,Vehicle,car,2,0.8064828515052795
7,233,0,609,67,718,Vehicle,car,2,0.6900014877319336
7,233,423,309,563,515,Vehicle,bus,5,0.6608084440231323
7,233,448,235,507,297,Vehicle,car,2,0.6557360291481018
7,233,236,628,342,718,Vehicle,car,2,0.6508849859237671
7,233,384,343,454,420,Vehicle,car,2,0.6083202362060547
7,233,933,413,1005,493,Vehicle,car,2,0.5763700008392334
7,233,1016,555,1092,644,Vehicle,car,2,0.5405662655830383
7,233,93,625,248,719,Vehicle,car,2,0.540135383605957
7,233,812,349,829,384,Human,person,0,0.4964582920074463
7,233,872,366,909,403,Vehicle,car,2,0.4534148871898651
7,233,881,402,922,457,Vehicle,car,2,0.4206281304359436
7,233,404,213,455,257,Vehicle,car,2,0.39979106187820435
7,233,524,180,558,211,Vehicle,car,2,0.3817436695098877
8,267,167,391,271,478,Vehicle,car,2,0.8410607576370239
8,267,346,281,419,344,Vehicle,car,2,0.8215243220329285
8,267,357,526,478,680,Vehicle,car,2,0.7963684797286987
8,267,0,616,61,718,Vehicle,car,2,0.6673263907432556
8,267,419,312,561,519,Vehicle,bus,5,0.6555051207542419
8,267,447,237,506,299,Vehicle,car,2,0.6471292972564697
8,267,229,636,336,720,Vehicle,car,2,0.603696346282959
8,267,382,346,451,422,Vehicle,car,2,0.580277144908905
8,267,933,413,1005,493,Vehicle,car,2,0.557498037815094
8,267,1016,555,1092,645,Vehicle,car,2,0.5404319167137146
8,267,93,635,237,720,Vehicle,car,2,0.5400165915489197
8,267,872,366,909,403,Vehicle,car,2,0.4410777986049652
8,267,814,349,829,385,Human,person,0,0.43350750207901
8,267,523,181,557,211,Vehicle,car,2,0.38719964027404785
8,267,636,199,658,231,Vehicle,car,2,0.38025638461112976
9,300,161,392,269,483,Vehicle,car,2,0.8549441695213318
9,300,345,282,416,346,Vehicle,car,2,0.802902340888977
9,300,354,532,477,689,Vehicle,car,2,0.8013932108879089
9,300,416,314,560,523,Vehicle,bus,5,0.7659062147140503
9,300,223,648,332,720,Vehicle,car,2,0.7040317058563232
9,300,0,623,52,719,Vehicle,car,2,0.695137083530426
9,300,380,349,449,428,Vehicle,car,2,0.6939138770103455
9,300,446,241,503,301,Vehicle,car,2,0.6568272113800049
9,300,87,645,231,720,Vehicle,car,2,0.5881198048591614
9,300,1016,555,1093,645,Vehicle,car,2,0.5541749596595764
9,300,928,411,1005,493,Vehicle,car,2,0.5005117058753967
9,300,520,182,556,213,Vehicle,car,2,0.4725876748561859
9,300,872,366,910,402,Vehicle,car,2,0.4275370240211487
9,300,814,350,830,387,Human,person,0,0.41049984097480774
10,333,156,393,267,485,Vehicle,car,2,0.861123263835907
10,333,342,286,414,349,Vehicle,car,2,0.8310117125511169
10,333,350,540,473,695,Vehicle,car,2,0.8135355710983276
10,333,415,316,559,528,Vehicle,bus,5,0.7538506388664246
10,333,447,245,503,301,Vehicle,car,2,0.7108532786369324
10,333,215,659,323,720,Vehicle,car,2,0.6954485177993774
10,333,378,352,448,429,Vehicle,car,2,0.6623689532279968
10,333,0,631,45,720,Vehicle,car,2,0.6142707467079163
10,333,1016,555,1093,645,Vehicle,car,2,0.5633337497711182
10,333,932,412,1006,492,Vehicle,car,2,0.5175763964653015
10,333,520,183,555,214,Vehicle,car,2,0.4748855531215668
10,333,814,351,831,388,Human,person,0,0.4264496862888336
10,333,872,366,910,401,Vehicle,car,2,0.4136163294315338
10,333,87,656,224,719,Vehicle,car,2,0.41355201601982117
11,367,151,397,262,490,Vehicle,car,2,0.8500663638114929
11,367,340,288,413,352,Vehicle,car,2,0.8422910571098328
11,367,347,544,470,702,Vehicle,car,2,0.7914130687713623
11,367,444,249,502,304,Vehicle,car,2,0.7703696489334106
11,367,411,318,558,533,Vehicle,bus,5,0.7494059801101685
11,367,376,354,446,435,Vehicle,car,2,0.713316023349762
11,367,0,640,36,720,Vehicle,car,2,0.6311332583427429
11,367,933,411,1006,492,Vehicle,car,2,0.5756385922431946
11,367,1016,556,1093,646,Vehicle,car,2,0.5681115984916687
11,367,814,352,831,390,Human,person,0,0.423775851726532
11,367,873,366,910,401,Vehicle,car,2,0.4135423004627228
11,367,216,668,318,720,Vehicle,car,2,0.38693466782569885
11,367,395,216,449,262,Vehicle,car,2,0.38003161549568176
12,400,343,547,467,709,Vehicle,car,2,0.8511679172515869
12,400,148,399,259,494,Vehicle,car,2,0.8425086140632629
12,400,337,288,411,353,Vehicle,car,2,0.7952912449836731
12,400,409,319,557,538,Vehicle,bus,5,0.7502455711364746
12,400,442,248,501,305,Vehicle,car,2,0.7470510601997375
12,400,373,358,449,436,Vehicle,car,2,0.6890705823898315
12,400,933,411,1006,491,Vehicle,car,2,0.6359021663665771
12,400,1016,557,1093,646,Vehicle,car,2,0.5641637444496155
12,400,397,216,446,261,Vehicle,car,2,0.44439414143562317
12,400,872,366,910,401,Vehicle,car,2,0.4042290449142456
12,400,814,352,832,391,Human,person,0,0.4018906354904175
12,400,79,678,203,719,Vehicle,car,2,0.38950255513191223
13,433,340,554,466,716,Vehicle,car,2,0.8927589058876038
13,433,142,403,255,498,Vehicle,car,2,0.8234790563583374
13,433,408,320,559,540,Vehicle,bus,5,0.8168479800224304
13,433,334,290,407,355,Vehicle,car,2,0.7636292576789856
13,433,368,359,446,441,Vehicle,car,2,0.7084221839904785
13,433,438,247,501,306,Vehicle,car,2,0.702816367149353
13,433,933,411,1006,490,Vehicle,car,2,0.6691105365753174
13,433,1016,558,1093,646,Vehicle,car,2,0.5682858824729919
13,433,814,353,832,392,Human,person,0,0.45474371314048767
13,433,391,218,446,263,Vehicle,car,2,0.42633241415023804
13,433,1037,257,1279,561,Vehicle,bus,5,0.41073158383369446
13,433,878,399,922,458,Vehicle,car,2,0.38732051849365234
14,467,331,291,404,358,Vehicle,car,2,0.9000774025917053
14,467,338,559,464,720,Vehicle,car,2,0.883752167224884
14,467,138,406,252,501,Vehicle,car,2,0.8661165237426758
14,467,363,360,441,444,Vehicle,car,2,0.7766265273094177
14,467,405,322,555,547,Vehicle,bus,5,0.7435601949691772
14,467,933,411,1007,490,Vehicle,car,2,0.6942458152770996
14,467,437,250,498,309,Vehicle,car,2,0.6918734908103943
14,467,1017,558,1094,646,Vehicle,car,2,0.5625815987586975
14,467,394,219,445,264,Vehicle,car,2,0.5523080825805664
14,467,814,354,832,393,Human,person,0,0.4857828915119171
14,467,371,218,446,265,Vehicle,car,2,0.42420798540115356
14,467,1037,254,1279,561,Vehicle,bus,5,0.4061018228530884
14,467,878,399,922,458,Vehicle,car,2,0.3986726999282837
14,467,872,366,910,401,Vehicle,car,2,0.39370569586753845
15,500,329,293,403,359,Vehicle,car,2,0.8934139013290405
15,500,133,406,250,506,Vehicle,car,2,0.878459632396698
15,500,334,562,463,720,Vehicle,car,2,0.8613520860671997
15,500,402,323,554,552,Vehicle,bus,5,0.831681489944458
15,500,358,361,438,449,Vehicle,car,2,0.7802901864051819
15,500,932,411,1006,489,Vehicle,car,2,0.7396087646484375
15,500,439,250,498,310,Vehicle,car,2,0.6640245914459229
15,500,1017,559,1094,647,Vehicle,car,2,0.6449597477912903
15,500,814,355,832,395,Human,person,0,0.5696408748626709
15,500,1036,255,1279,561,Vehicle,bus,5,0.5322936177253723
15,500,392,220,444,264,Vehicle,car,2,0.5045737028121948
15,500,370,219,446,266,Vehicle,car,2,0.42235082387924194
16,533,397,326,552,556,Vehicle,bus,5,0.9165613651275635
16,533,328,296,401,361,Vehicle,car,2,0.8933641314506531
16,533,331,572,461,720,Vehicle,car,2,0.8787268996238708
16,533,127,408,245,510,Vehicle,car,2,0.8510245680809021
16,533,933,411,1006,490,Vehicle,car,2,0.747661292552948
16,533,355,363,433,454,Vehicle,car,2,0.7394493818283081
16,533,436,254,495,312,Vehicle,car,2,0.65166175365448
16,533,1018,559,1094,647,Vehicle,car,2,0.649932324886322
16,533,816,357,832,397,Human,person,0,0.5429381132125854
16,533,1037,253,1279,561,Vehicle,bus,5,0.5422036051750183
16,533,388,220,443,269,Vehicle,car,2,0.48128384351730347
16,533,517,185,552,217,Vehicle,car,2,0.4451606273651123
17,567,393,329,551,562,Vehicle,bus,5,0.9074850678443909
17,567,329,577,458,720,Vehicle,car,2,0.8885883092880249
17,567,121,411,242,515,Vehicle,car,2,0.8716624975204468
17,567,326,297,398,364,Vehicle,car,2,0.8364372253417969
17,567,933,411,1005,489,Vehicle,car,2,0.7042849063873291
17,567,351,368,431,455,Vehicle,car,2,0.6746251583099365
17,567,435,256,493,315,Vehicle,car,2,0.6665189862251282
17,567,1019,559,1094,646,Vehicle,car,2,0.6009953618049622
17,567,390,221,442,271,Vehicle,car,2,0.5310107469558716
17,567,816,359,832,398,Human,person,0,0.5049232244491577
17,567,515,184,551,217,Vehicle,car,2,0.5037729740142822
17,567,1037,253,1279,560,Vehicle,bus,5,0.4934956133365631
17,567,872,365,910,400,Vehicle,car,2,0.42448756098747253
18,600,393,331,551,567,Vehicle,bus,5,0.908306360244751
18,600,118,416,239,519,Vehicle,car,2,0.8621591925621033
18,600,323,299,396,367,Vehicle,car,2,0.8191739320755005
18,600,328,580,455,720,Vehicle,car,2,0.7977460622787476
18,600,933,410,1006,489,Vehicle,car,2,0.7387037873268127
18,600,434,256,493,316,Vehicle,car,2,0.7278291583061218
18,600,349,371,432,460,Vehicle,car,2,0.5852558016777039
18,600,1019,558,1095,648,Vehicle,car,2,0.5708943009376526
18,600,1037,254,1279,560,Vehicle,bus,5,0.5329170227050781
18,600,816,359,833,399,Human,person,0,0.4701746702194214
18,600,387,222,441,270,Vehicle,car,2,0.44829609990119934
18,600,873,365,910,400,Vehicle,car,2,0.42192354798316956
18,600,517,186,549,217,Vehicle,car,2,0.4058666527271271
19,633,390,332,550,573,Vehicle,bus,5,0.9347690343856812
19,633,112,421,236,523,Vehicle,car,2,0.8566288352012634
19,633,321,300,394,368,Vehicle,car,2,0.8278433680534363
19,633,331,587,454,720,Vehicle,car,2,0.7808711528778076
19,633,431,256,492,317,Vehicle,car,2,0.7461512088775635
19,633,932,408,1006,488,Vehicle,car,2,0.6684523820877075
19,633,346,372,427,465,Vehicle,car,2,0.5603722333908081
19,633,816,364,833,400,Human,person,0,0.5477848052978516
19,633,1020,558,1095,648,Vehicle,car,2,0.5310265421867371
19,633,513,187,549,219,Vehicle,car,2,0.5210680365562439
19,633,623,306,645,355,Human,person,0,0.5014210939407349
19,633,1038,254,1279,561,Vehicle,bus,5,0.4867975413799286
19,633,385,222,439,271,Vehicle,car,2,0.4474782943725586
19,633,872,365,910,400,Vehicle,car,2,0.44145438075065613
20,667,386,334,550,581,Vehicle,bus,5,0.9291384220123291
20,667,107,424,231,528,Vehicle,car,2,0.7788204550743103
20,667,316,301,394,372,Vehicle,car,2,0.7469485998153687
20,667,326,593,451,719,Vehicle,car,2,0.7169939279556274
20,667,429,257,491,318,Vehicle,car,2,0.7105762362480164
20,667,932,408,1006,488,Vehicle,car,2,0.658523678779602
20,667,344,374,427,470,Vehicle,car,2,0.60380619764328
20,667,514,188,548,219,Vehicle,car,2,0.5982697606086731
20,667,1020,559,1095,649,Vehicle,car,2,0.5631698369979858
20,667,1037,253,1279,561,Vehicle,bus,5,0.5274056792259216
20,667,816,364,834,401,Human,person,0,0.5138723254203796
20,667,380,224,438,272,Vehicle,car,2,0.48965129256248474
20,667,873,365,910,399,Vehicle,car,2,0.4800195097923279
20,667,624,311,644,358,Human,person,0,0.43196508288383484
21,700,384,335,549,583,Vehicle,bus,5,0.9286158084869385
